編號,問題,回答重點,UPGPT回答
1,事業單位勞動場所發生何種職業災害需要通報？要如何通報？,"一、事業單位勞動場所工作者發生下列職業災害之一時，應在知悉後8小時內通報所在轄區勞動檢查機構：
(一)發生死亡災害時。
(二)同一災害發生工作者永久全失能、永久部分失能及暫時全失能之總人數達3人以上時。
(三)發生災害在1人以上，送醫後經醫院診斷通知需住院治療時(不包含留院觀察)。

二、職業災害通報管道，可以選擇以電話或網路通報：
電話或網路向所在地勞動檢查機構通報。列出各機構通報專線地址。","需要通報的職業災害類型
事業單位勞動場所若發生下列職業災害，必須於知悉後8小時內通報所在地勞動檢查機構：

發生死亡災害。
同一災害造成工作者永久全失能、永久部分失能及暫時全失能之總人數達3人以上。
發生災害人數達1人以上，且送醫後需住院治療（不包含留院觀察）1。
通報方式
事業單位可採用下列方式通報職業災害：

以電話或網路通報，聯絡所在地勞動檢查機構，並可查詢各機構通報專線地址1。
通報注意事項

除雇主外，醫療機構、其他知情人員，以及遭遇職業傷病勞工本人，皆可主動通報職業傷病，並需填寫傷病者姓名、傷病名稱、聯絡方式及通報者資訊，登錄於官方職業傷病通報系統1。
如需協助，也可向勞動部或各地方政府職業災害專業服務人員尋求個別化協助，包括權益諮詢、經濟補助、心理支持與復工服務"
2,職安法新增適用之事業單位，其職業安全衛生組織應如何設置？,"職安法第23條規定，雇主應依其事業單位之規模、性質，訂定職業安全衛生管理計畫;並置安全衛生組織、人員，實施安全衛生管理。另職業安全衛生管理辦法第2條規定，事業單位依危害風險不同，區分為第一類、第二類及第三類事業。
職安法擴大適用各業後，為避免施行初期對新增適用之事業單位造成衝擊，上述事業分類仍維持原「勞工安全衛生組織管理及自動檢查辦法」附表一適用之範圍，新增適用事業尚未納入該等分類，爰尚不需設置安全衛生組織及人員。惟有關職業安全衛生管理計畫、自動檢查、工作守則報備、職災統計月報等，仍應依相關規定辦理。例如，原勞工安全衛生法指定適用部分工作場所之事業單位，因職安法擴大適用之勞工人數，除不納入上述分類應設置安全衛生組織及人員的勞工人數計算外，其餘應仍依規定予以併計，納入事業單位之規模(如職災統計月報應報備之勞工人數)。","職安法新增適用事業單位的職業安全衛生組織設置方式
依據現行規定，雇主需依事業單位之規模、性質，訂定職業安全衛生管理計畫，並設置安全衛生組織及人員，實施安全衛生管理。然而，針對職安法「新增適用」的事業單位，基於避免新規上路初期對事業單位造成衝擊，新增適用事業尚未納入現行「勞工安全衛生組織管理及自動檢查辦法」分類範圍，因此目前「尚不需設置」安全衛生組織及人員。

不過，相關職業安全衛生管理計畫、自動檢查、工作守則報備、職災統計月報等事項，仍應依規定辦理。另一方面，原本已指定適用勞工安全衛生組織之事業單位，因職安法擴大適用後，新增勞工人數部分不需納入安全衛生組織及人員設置的計算，但在其他如職災統計月報等各項規定，則需合併計算並報備"
3,雇主對於預防職場所發生不法侵害事件之責任為何？勞工若遇到相關事件如何處理？,"​一、職業安全衛生法第6條第2項第3款有關不法侵害預防之立法意旨，係課以雇主應採取預防性之危害辨識、評估、作業場所配置及工作適性安排等作為之義務，其應依職業安全衛生設施規則第324條之3採取預防措施，及參照勞動部公告之「執行職務遭受不法侵害預防指引」訂定計畫，並據以執行；若雇主未依上開規定採取預防措施，工作者得依職業安全衛生法第39條申訴，主管機關或勞動檢查機構將實施檢查，惟尚無涉個案調查、處理及因果關係認定。

二、職業安全衛生法施行細則第11條，明定不法之侵害由各該管主管機關或司法機關調查或認定。工作者若不幸於勞動場所遭遇不法侵害，該事件個案所觸犯或違反之法律事實，需請該權責單位查處(如:遭毆打、言語侮辱等傷害是否違反民、刑法，需循警政單位或司法機關查處；如遭職場性騷擾、工作平等相關問題，是否違反性騷擾防治法或性別工作平等法，可循地方勞工主管機關協處)","雇主預防職場所不法侵害事件之責任
雇主依職業安全衛生法第6條第2項第3款及相關規定，必須進行預防性危害辨識、危害評估、作業場所配置及工作適性安排等，以落實預防不法侵害的義務。此外，雇主應依職業安全衛生設施規則第324條之3，採取相關預防措施，並參照勞動部公布的「執行職務遭受不法侵害預防指引」訂定計畫並執行。若未落實相關措施，工作者可依職業安全衛生法申訴，由主管機關或勞動檢查機構實施檢查1。

勞工遇到不法侵害事件的處理方式
如果勞工不幸於工作場所遭遇不法侵害，如身體傷害、言語侮辱等，需視具體情節循相應主管機關或司法機關調查處理。例如涉及民、刑法的案件，應向警政單位或司法機關報案；若牽涉職場性騷擾或性別平等問題，則可尋求地方勞工主管機關協助1。

勞工在遇到不法侵害或職業災害時，也可向各地方政府職業災害專業服務人員尋求個案服務協助，諮詢權益、心理支持、經濟補助或復工轉介等，詳情可參考勞動部網站的各地聯絡資訊1。"
4,什麼是職業傷病？,職業傷病一詞分別為職業「傷害」以及職業「病」之意。其中職業傷害係指在執行職務時，受到立即性意外的傷害，例如在工作中於鷹架上摔落地面受傷骨折，即屬於職業傷害；而職業病則為執行職務時，因暴露於化學性、物理性、生物性、人因性以及其他因子導致身體產生疾病(經醫師診斷)，例如長期處於強烈噪音的工作環境之中，經由醫師診斷噪音所導致聽力損失，即屬於職業病。,"什麼是職業傷病？
職業傷病是指勞工在執行職務過程中，遭受的「職業傷害」或「職業病」。職業傷害一般指在工作時遇到突發意外造成的立即性傷害，例如施工中自鷹架跌落導致骨折；而職業病則屬於長期因工作環境暴露於化學性、物理性、生物性或人因性等危害因子所致，例如長期在高噪音環境工作，經醫師診斷確認因噪音造成聽力損失，即屬職業病。"
5,如何診斷職業病？,有關職業疾病之診斷具客觀嚴謹標準，需由職業醫學科專科醫師參酌個案之既往作業經歷、職業暴露史、歷年健康檢查紀錄、生活史及家族病史等資料，進行綜合性評估，始得以診斷。如疑因工作導致之身體健康問題，可至經本部認可之職業傷病診治醫療機構開設之職業傷病門診，尋求相關諮詢及協助。,診斷職業病通常需要結合臨床診斷與勞工的工作史、職業暴露史等資訊。醫師會根據勞工提供的症狀、工作環境的有害因子、暴露量及暴露期間進行評估，並搭配相關的影像或生理檢查、實驗室測試來確定疾病是否與工作相關。如診斷上懷疑為職業病，醫師需進一步確認症狀與工作環境危害間的因果關係。
6,誰可以通報職業傷病？如何通報？,除職業醫學科專科醫師外，雇主、醫療機構、其他人員知悉勞工遭遇職業傷病者，及遭遇職業傷病勞工本人，皆得通報職業傷病，將發生傷病個案姓名、傷病名稱、聯絡方式及通報者資訊等資料，登錄於本部公告之職業傷病通報系統。本部接獲通報後，將整合職業傷病通報資訊，並透過財團法人職業災害預防及重建中心適時轉介醫療機構，提供該勞工必要之服務及協助。,"誰可以通報職業傷病？
除職業醫學科專科醫師外，雇主、醫療機構、其他人員知悉勞工遭遇職業傷病者，以及遭遇職業傷病的勞工本人，皆可以主動通報職業傷病。1

如何通報職業傷病？
通報者需將傷病個案的姓名、傷病名稱、聯絡方式及通報者資訊等資料，登錄於主管機關公告的職業傷病通報系統；主管機關在接獲通報後，會整合相關資訊，並由職業災害預防及重建中心適時轉介醫療機構，提供勞工必要服務及協助。1

職業災害(含職業病與職業傷害)之通報方式
若在勞動場所發生死亡、失能或需住院治療等嚴重職業災害，事業單位需在知悉後8小時內，透過電話或網路通報至所在地勞動檢查機構。1"
7,職業病鑑定受理範圍為何？,由於勞工職業災害保險納保對象已涵蓋多數勞工，因此職業病鑑定受理申請案件包括保險人於審核職業病給付案件認有必要者，以及被保險人於申請職業病給付遇有爭議，且曾經「勞工職業災害保險及保護法」第73條第1項認可醫療機構診斷罹患職業病，於依該法第5條規定申請審議時，請保險人送請鑑定之案件。,"職業病鑑定受理範圍
職業病鑑定受理申請案件的範圍包括：

當保險人在審核職業病給付案件時認為有必要，需要進一步鑑定者。
被保險人在申請職業病給付時遇到爭議，且曾經由「勞工職業災害保險及保護法」第73條第1項認可的醫療機構診斷罹患職業病，於依該法第5條規定申請審議時，請保險人送請鑑定之案件1。
這些申請案件主要是以保險受理範圍內的多數勞工為主，特別是遇到診斷及保險給付爭議時，由認可醫療機構診斷後，經申報審議而進入鑑定程序1。"
8,發生職業災害可向誰尋求協助？,"勞動部補助各地方政府配置職業災害專業服務人員，可提供職業災害勞工個別化服務，提供權益諮詢、經濟補助、心理支持、復工協助及轉介就業服務等協助事項。

各地方政府聯絡方式：https://www.osha.gov.tw/48110/48363/133471/133477/133524/post","發生職業災害時可尋求的協助單位

勞工發生職業災害時，可向「勞動部補助各地方政府配置的職業災害專業服務人員」尋求協助，這些人員主要提供職業災害勞工個別化的服務，包括權益諮詢、經濟補助、心理支持、復工協助及轉介就業服務等事項。此外，各地方政府也設有專責聯絡方式，詳細資訊可參考勞動部職業安全衛生署官網公布之專線列表1。

另一個協助管道，若有重返職場的需求，勞工或雇主可向「認可職能復健專業機構」申請職能復健服務，協助制定復工計畫並進行相關工作分析及能力評估[S WZT3]。

如需通報職業傷病，除了職業醫學科專科醫師外，雇主、醫療機構、職災勞工本人或其他知悉者，皆可於職業傷病通報系統進行通報，政府會適時整合通報資訊並轉介至職業災害預防及重建中心，協助勞工獲得必要資源與服務1。

延伸說明
如果有進一步需要診斷職業病，可前往經認可的職業傷病診治醫療機構開設之職業傷病門診尋求協助"
9,雇主或職業災害勞工有重返職場需求，是否有相關單位可提供服務？,為協助職業災害勞工順利重返職場，得向認可職能復健專業機構，申請協助擬定復工計畫，進行職業災害勞工工作分析、功能性能力評估及增進其生理心理功能之強化訓練等，職能復健服務。,"重返職場的協助單位

雇主或職業災害勞工若有重返職場的需求，可以向「認可職能復健專業機構」申請職能復健服務。這些機構會協助擬定復工計畫，進行工作分析、功能性能力評估，並透過生理或心理功能強化訓練來提升勞工復職的可能性，讓職災勞工能順利重返職場1。

在復工過程中，若雇主依認可之職能復健機構的評估而購置輔助設施，還可以向地方政府申請相關補助，最高可達10萬元。此外，雇主聘用原事業單位或其他事業單位的職業災害勞工，亦可向地方政府申請僱用補助，最長可發給12個月1。"
10,僱用職業災害勞工之雇主，是否得請領相關補助？,雇主如依認可之職能復健機構開立之評估購置輔助設施，得向各地方政府申請輔助設施補助，最高補助10萬元。另事業單位僱用原事業單位或他事業單位之職業災害勞工，另可向地方政府申請僱用補助，最長發給12個月。,"僱主僱用職業災害勞工的補助資格

雇主如依認可的職能復健機構開立的評估購置輔助設施，可向各地方政府申請輔助設施補助，最高補助金額為10萬元。此外，事業單位不論是僱用原事業單位或其他事業單位的職業災害勞工，皆可向地方政府申請僱用補助，最長得發給12個月"
